admissionRate,mathSat,englishSat,overallCost,graduateCount,femaleProportion,entryAge,dependentProportion,povertyRate,firstGenerationProportion,asianPreportion,blackPreportion,whitePreportion,hispanicPreportion,nativePreportion,endowment,facultySalary,studentExpendature,studentRevenue,studentCount,medianIncome,housingCost,tuitionCost,overallPrice,pellGrantReceivers,federalLoanReceivers,debtAmount,lenders,sixYearEarnings,schoolName,id
0.968,518.0,,20621.0,982.0,0.6686,22.0,0.7727717924,13.0,0.38189609,0.0987,0.0717,0.6771,0.0179,0.0045,64217660.0,7885.0,7040.0,7879.0,3742.0,50723.0,7368.0,18820.0,13689.0,0.7257590597,0.5138,25000.0,0.8932419197,37969.0,Auburn University at Montgomery,
0.7637,691.0,528.0,54738.0,803.0,0.558,22.0,0.7525370804,5.05000019073486,0.2890120037,0.0947,0.0355,0.7515,0.0414,0.0178,68323244.0,8344.0,9677.0,14305.0,2346.0,72224.0,11222.0,41007.0,24052.0,0.6455893833,0.7431,25347.0,0.8711943794,46457.0,Augsburg University,
0.7328,585.0,,22681.0,3474.0,0.6579,22.0,0.7320175439,10.039999961853,0.2831900669,0.1755,0.0607,0.624,0.0483,0.0,368958989.0,8928.0,12980.0,11732.0,5136.0,60039.0,10350.0,24210.0,15044.0,0.6399122807,0.4335,20500.0,0.8122807018,37800.0,Augusta University,
0.6913,,,57422.0,29.0,0.5421,19.0,0.9861878453,4.44000005722045,0.2224352828,0.0914,0.0457,0.8173,0.0152,0.0,215416774.0,8037.0,10473.0,16690.0,2317.0,77348.0,11830.0,46189.0,23538.0,0.3535911602,0.6273,27000.0,0.9723756906,49016.0,Augustana College,
0.7182,595.0,,51506.0,307.0,0.6303,20.0,0.9180327869,5.67999982833862,0.1448275862,0.0365,0.0219,0.8832,0.0292,0.0073,114087452.0,6810.0,12438.0,15473.0,1658.0,60196.0,8858.0,35914.0,27055.0,0.3540983607,0.5999,25000.0,0.9573770492,47691.0,Augustana University,
0.8642,520.0,472.0,35882.0,2051.0,0.6634,23.0,0.7121142331,5.07999992370605,0.4569466455,0.0294,0.0588,0.8676,0.0441,0.0,52544153.0,8274.0,5061.0,13012.0,4076.0,77796.0,10698.0,26760.0,17285.0,0.5988023952,0.5948,20318.0,0.8733302626,48078.0,Aurora University,
0.4271,610.0,565.0,56336.0,16.0,0.5348,19.0,0.9616204691,6.78999996185302,0.2339449541,0.0588,0.049,0.8137,0.049,0.0196,184772455.0,7546.0,11436.0,15111.0,1208.0,74623.0,12752.0,43525.0,22677.0,0.552238806,0.5253,24500.0,0.9253731343,44949.0,Austin College,
0.9343,,,23439.0,1191.0,0.6071,23.0,0.6291823401,8.93000030517578,0.395009936,0.0544,0.0933,0.7487,0.0233,0.0026,45295305.0,8244.0,8701.0,6097.0,7490.0,52472.0,12056.0,13975.0,14480.0,0.7442090675,0.4136,20547.0,0.752326272,36253.0,Austin Peay State University,
0.6405,,545.0,39343.0,43.0,0.5508,19.0,0.9743040685,5.88000011444091,0.1763392857,0.0635,0.0317,0.7937,0.0794,0.0,8662372.0,8377.0,11155.0,6797.0,1240.0,72612.0,13202.0,24610.0,18860.0,0.443254818,0.506,20776.0,0.9186295503,38753.0,Ave Maria University,
0.4772,518.0,,49727.0,222.0,0.4644,24.0,0.6687268232,8.4399995803833,0.3755102041,0.0,0.0566,0.9057,0.0,0.0,31001823.0,6168.0,8188.0,12788.0,1094.0,58009.0,11140.0,37050.0,22914.0,0.6464771323,0.7178,25000.0,0.934487021,42084.0,Averett University,
0.68,522.0,,31636.0,352.0,0.6096,23.0,0.6689466484,5.94000005722045,0.3674698795,0.0606,0.0606,0.8636,0.0152,0.0,18479168.0,6562.0,7972.0,12935.0,999.0,67638.0,7516.0,21740.0,18627.0,0.5745554036,0.6796,25000.0,0.9685362517,44448.0,Avila University,
0.941,556.0,,54720.0,4187.0,0.6828,26.0,0.5288856659,7.94999980926513,0.3798259924,0.1422,0.0734,0.617,0.0734,0.0046,100257631.0,8957.0,10122.0,19762.0,3937.0,73950.0,9820.0,41510.0,24811.0,0.5682861977,0.4772,23219.0,0.9354604786,51213.0,Azusa Pacific University,
0.2535,730.0,625.0,74300.0,1108.0,0.4297,19.0,,6.51000022888183,0.1487603306,0.1429,0.033,0.8077,0.011,0.0,700733790.0,17413.0,14548.0,35329.0,2532.0,82978.0,18234.0,54944.0,31267.0,0.3537549407,0.2857,20000.0,0.9169960474,83999.0,Babson College,
0.545,466.0,,30708.0,,0.485,22.0,0.7722419929,14.1800003051757,0.4520547945,0.1429,0.1429,0.2857,0.0,0.4286,7329163.0,4016.0,2676.0,7537.0,266.0,44521.0,8600.0,14700.0,16035.0,0.8446026097,0.418,26187.0,0.8540925267,32303.0,Bacone College,
0.4099,,,22251.0,307.0,0.7428,26.0,0.4566757493,8.77999973297119,0.4714151828,0.0265,0.0619,0.9115,0.0,0.0,389980183.0,5841.0,14177.0,14168.0,4113.0,59405.0,6400.0,12420.0,14160.0,0.770027248,0.5255,25000.0,0.7455949137,30206.0,Baker College,
0.9906,540.0,,45984.0,820.0,0.5614,25.0,0.6042713568,5.42000007629394,0.3628922237,0.0303,0.0303,0.8636,0.0303,0.0,54288205.0,6603.0,6641.0,12980.0,1206.0,67758.0,9330.0,31700.0,24493.0,0.5138190955,0.5768,25000.0,0.8969849246,51792.0,Baker University,
0.7901,570.0,,52158.0,485.0,0.5563,21.0,0.8588007737,5.17999982833862,0.3180887372,0.0583,0.0404,0.8655,0.0314,0.0,194825305.0,8361.0,12947.0,14946.0,2808.0,66257.0,12424.0,35966.0,26072.0,0.5087040619,0.8136,27000.0,0.9477756286,42124.0,Baldwin Wallace University,
0.6817,550.0,535.0,24343.0,5421.0,0.6136,20.0,0.9142421723,5.76000022888183,0.2772175946,0.0806,0.0326,0.8244,0.0269,0.0029,269331572.0,7884.0,10275.0,8436.0,13896.0,62817.0,10796.0,27524.0,15464.0,0.5121917429,0.7729,23250.0,0.8901357717,42460.0,Ball State University,
,,,,635.0,,,,15.6000003814697,,0.0833,0.1667,0.625,0.125,0.0,35029678.0,9923.0,51223.0,58297.0,,63961.0,,,,,,,,,Bank Street College of Education,
,,,25648.0,44.0,0.428,20.0,0.8708133971,8.0600004196167,,0.0,0.0,1.0,0.0,0.0,344375.0,3824.0,4563.0,10355.0,236.0,54103.0,7500.0,14890.0,17211.0,0.6028708134,0.6634,26168.0,0.8947368421,30707.0,Baptist Bible College,
0.3492,,505.0,18786.0,25.0,0.9077,26.0,0.4693877551,9.96000003814697,0.4285714286,0.0,0.2754,0.6812,0.0,0.0145,65033040.0,6856.0,10572.0,15305.0,888.0,61604.0,3800.0,12572.0,6265.0,0.6326530612,0.9013,29500.0,0.9234693878,56941.0,Baptist Health Sciences University,
,,,13804.0,,0.5333,29.0,0.4567901235,16.2700004577636,0.5535714286,,,,,,4406487.0,,7878.0,10630.0,120.0,47253.0,7670.0,6768.0,7740.0,,0.0342,,0.2716049383,32191.0,Baptist University of the Americas,
0.5415,,,35970.0,31.0,0.5432,24.0,0.7083333333,6.98999977111816,0.4031007752,0.0,0.0,1.0,0.0,0.0,7048498.0,4900.0,9067.0,21069.0,162.0,57474.0,10440.0,23850.0,23840.0,0.7361111111,0.6627,27000.0,0.8680555556,29316.0,Barclay College,
0.5992,,,75997.0,420.0,0.5609,19.0,0.951486698,6.59999990463257,0.1217105263,0.0732,0.0341,0.6439,0.0488,0.0049,162390807.0,11828.0,36144.0,15138.0,2036.0,78301.0,16760.0,57968.0,23332.0,0.4491392801,0.4046,24254.0,0.9061032864,30774.0,Bard College,
